,SM1_Dz(i),SM1_Dz(p),AMR,SpPosA_B(p),T(N..O),CATS2D_02_DA,DLS_cons,P_VSA_MR_2
C(CC(=O)OOC(=O)CCC(=O)O)C(=O)O,0.869115263381748,-2.36085400111804,45.2188,1.09355215861344,0,2,0.904761904761905,213.377628731484
COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,0.666443797725402,-1.62896599224165,83.4913,1.30968396148249,39,0,0.857142857142857,25.1449270324178
CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],1.23229783607682,-2.64110523123256,79.6541,1.14162312989523,36,0,0.964285714285714,91.9647477993987
C1=NNN=N1,0.642274850186189,-1.22377543162212,19.5474,1.21452338943653,0,1,0.671428571428571,0.0
C1=CC=C2C(=C1)C(=O)NS2(=O)=O,0.50537077308303,-1.57005238569981,41.8965,1.27033163272739,6,3,0.7,69.4578791025985
C(C(C(C(CO)O)O)O)O,0.623529113679082,-1.94591014905531,32.4411,1.00788282149663,0,0,0.885714285714286,0.0
C1CNP(=O)(OC1)N(CCCl)CCCl,0.686223265487121,-1.30817064433831,59.145,1.22822849222502,8,3,1.0,43.8054218258797
C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O,0.526147639863796,-1.75785791755238,64.5392,1.27243741028141,0,0,0.747619047619048,135.656540386678
CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-],1.0361693480449,-2.17475172148417,,1.18227482575402,103,3,0.961904761904762,50.2898540648355
C1=CC=C(C=C1)NC2=CC=C(C=C2)N,0.371839380458498,-0.788457360364263,59.2446,1.29364950166707,0,0,0.752380952380952,0.0
C1CCC(CC1)(O)OOC2(CCCCC2)OO,0.623529113679051,-1.94591014905533,56.798,1.1108261315623,0,1,1.0,94.1688159727225
CNC1=C(C(=O)N(N=C1)C2=CC=CC(=C2)C(F)(F)F)Cl,1.11235081477863,-2.32591091829755,69.7997,1.18845536390062,9,0,0.771428571428571,70.0252668454552
C(C(C(F)(F)F)(Cl)Cl)(F)F,1.10918948570588,-2.4273746367568,26.4845,1.00246748503168,0,0,0.809523809523809,74.8005663550623
C(=N)(N)S(=O)O,0.536317916526927,-1.43672603441858,22.9516,1.15166433034992,12,1,0.838095238095238,22.1564760350904
C(C(C(CO)O)O)O,0.526147639863774,-1.75785791755237,26.4786,1.00235785954317,0,0,0.90952380952381,0.0
CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,0.585895989812958,-1.52605630349504,59.0376,1.23710157416186,12,2,0.9,50.2898540648355
C1N2CN3CN1CN(C2)C3,0.642274850186187,-1.22377543162212,36.9954,1.19837355814279,0,0,0.857142857142857,0.0
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,0.614482689376269,-1.38629436111989,70.5084,1.25556472588928,8,0,0.928571428571429,60.4582330221887
CC(=O)NC1=NN=C(S1)S(=O)(=O)N,0.809284418188999,-1.82677262506506,48.7977,1.25365086053668,46,4,0.733333333333333,69.4578791025985
C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,0.858958185226917,-2.03001492501749,78.1605,1.25793367304109,48,3,0.771428571428571,121.648568549768
C(COCCO)O,0.418249702467586,-1.52605630349505,25.5971,1.04766695582735,0,0,0.90952380952381,0.0
CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,0.634935270811539,-1.10346715139429,57.2199,1.28266398571013,4,2,0.9,25.1449270324178
C(=C(F)F)(C(F)(F)F)F,1.13853788154043,-2.62881938597693,17.9244,0.89704689776561,0,0,0.690476190476191,44.8803398130374
C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,0.536317916526938,-1.43672603441858,68.991,1.28973793230665,24,0,0.8,44.3129520701807
C,,,6.3468,,0,0,0.647619047619048,0.0
CN(C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.25584393173583,-2.61006979274201,63.6549,1.16340493222442,160,0,0.554761904761905,0.0
CC(=O)NC1=CC=CC=C1,0.335257213064665,-1.02961941718115,39.1402,1.26389307793184,2,1,0.752380952380952,25.1449270324178
CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,0.703988203737795,-1.64865862558739,78.3964,1.22941610876962,30,2,1.0,59.6870189132048
C1=CC2=CC3=C(C(=CC=C3)O)C(=C2C(=C1)O)O,0.418249702467568,-1.52605630349505,64.0407,1.29046101628155,0,0,0.747619047619048,128.050029482764
COc1ccc(nn1)NS(=O)(=O)c1ccc(cc1)N,0.847240715897351,-1.88811455747081,74.168,1.24102691370737,55,3,0.8,55.3128399577872
CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,0.745739630679133,-1.79290880848457,69.6994,1.25768346657433,36,3,0.8,54.0470729869417
CCOC(=O)C1=CC=C(C=C1)N,0.451966941759589,-1.38629436111989,47.0339,1.22524682592829,12,0,0.852380952380952,71.4581209097951
CC(CO)OCC(C)OCC(C)O,0.526147639863769,-1.75785791755237,49.8952,1.1071712117521,0,0,0.923809523809524,105.939917969313
CC1=CC(=O)NS(=O)(=O)O1,0.604698407374828,-1.79290880848458,33.881,1.20042752028888,8,4,0.685714285714286,104.771185092369
CC(=O)NC1=CC=C(C=C1)C(=O)CCl,0.532450119862674,-1.33692027650209,54.4464,1.25648587369597,8,1,0.9,50.2898540648355
C(C1C(C(C(O1)(CO)O)O)O)O,0.712263297752162,-2.10413415427021,36.3608,1.03427012404833,0,1,0.914285714285714,0.0
CC(C)(C,0.371839380458509,-0.788457360364262,39.6466,1.28519368814154,0,0,0.880952380952381,0.0
CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,0.604698407374836,-1.79290880848458,73.7101,1.22244522340124,18,1,1.0,159.225630249881
C1CN2CCC1C(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O,0.556467981644697,-1.64865862558738,96.0195,1.24506491762353,14,0,0.9,95.0003249029758
C1(=O)NC(=O)NC(=O)N1,0.786136487402773,-1.85629799036563,24.7278,1.12611868473565,24,6,0.685714285714286,75.4347810972533
C(C(CO)O)O,0.418249702467583,-1.52605630349505,20.5161,0.994954103664741,0,0,0.90952380952381,0.0
O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C,0.297285808594467,-1.22377543162212,92.7804,1.26550124688428,0,0,1.0,50.2898540648355
CCOCCOCCOCCO,0.526147639863773,-1.75785791755238,46.1398,1.09241627496702,0,0,0.9,35.313305989771
CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N)C,0.516171310090747,-1.02961941718115,75.1598,1.29195713842053,0,0,0.871428571428571,0.0
C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,0.578129068975676,-1.43855468778097,48.3656,1.24942160414622,0,1,0.771428571428571,78.8281580809454
C1=CC(=CC=C1N)OC2=CC=C(C=C2)N,0.484584312560772,-1.22377543162211,61.6996,1.26565411786446,10,0,0.8,10.9998878876064
CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,0.623529113679085,-1.94591014905531,51.94,1.16324196922866,0,0,1.0,187.737048395968
C1=CC(=CC=C1C(CC(=O)O)CN)Cl,0.532450119862655,-1.33692027650209,54.829,1.23797068554742,10,1,1.0,79.5993721899293
CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,0.911881023385462,-2.24070968927595,92.1635,1.22174714353714,54,0,0.9,142.91624181959
C1C(O1)CO,0.297285808594477,-1.22377543162212,17.006,1.01818460680625,0,0,0.923809523809524,0.0
C(,0.681681702450662,-0.357114847167126,56.7526,1.40234875554454,0,0,0.747619047619048,0.0
CN1C2=C(C(=O)N(C1=O)C)NC=N2,0.809595993203192,-1.75785791755238,44.4367,1.21570657805143,26,1,0.757142857142857,50.2898540648355
O=C1C=C[C@]2([C@H](N1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)NC(C)(C)C)C)C,0.585895989812905,-1.52605630349505,108.2689,1.24528226399436,24,2,1.0,179.771976027329
C1=CN=CC=C1N,0.371839380458503,-0.78845736036427,28.6015,1.25208334359033,0,0,0.728571428571429,0.0
N(=O)OS(=O)(=O)O,0.695045377843021,-1.97503890044712,18.0177,1.05995901642496,9,3,0.685714285714286,78.4506987493991
N(Cl)(Cl)Cl,0.482611317284817,-0.021663639636022,21.3069,1.33448969159973,0,0,0.685714285714286,0.0
FS(F)(F)F,0.844966573620125,-2.21686379258857,13.7987,0.846770684240939,0,0,0.661904761904762,0.0
N(=O)[N+](=O)[O-],0.677881246889512,-1.75785791755237,13.048,1.06533991790747,6,0,0.695238095238095,25.3734570391534
N=[N+]=[N-],0.516171310090743,-1.02961941718116,,1.13030712679374,0,1,0.647619047619048,0.0
O=S=O,0.230556011029663,-1.10090964771679,8.6416,1.24264687831433,0,0,0.647619047619048,44.3129520701807
BrBr,0.0896578719305354,0.61302113608066,17.4704,1.733,0,0,0.733333333333333,0.0
OS(=O)(=O)F,0.5800344719283,-1.8484233163456,12.7075,1.00098616012112,0,2,0.685714285714286,44.3129520701807
O=[Si]=O,-0.0344980404075674,-1.00323877352481,2.8858,1.57170638594442,0,0,0.647619047619048,0.0
I,,,14.1408,,0,0,0.733333333333333,0.0
P(Br)(Br)Br,0.06475724721528,1.02396057897233,33.0416,1.81875745189642,0,0,0.70952380952381,0.0
OP(=O)(O)O,0.481561578079464,-1.66483477565439,14.6519,1.03662871081055,0,6,0.79047619047619,20.2632178326991
OS(=O)O,0.359351359142141,-1.43672603441858,14.2944,1.05256879228785,0,3,0.761904761904762,22.1564760350904
O=S(Cl)Cl,0.299808252249623,-0.351712652108918,21.4378,1.39555131390602,0,0,0.685714285714286,22.1564760350904
O=P(Cl)(Cl)Cl,0.40172478849244,-0.101382614288602,25.367,1.45606667176897,0,0,0.685714285714286,20.2632178326991
F,,,2.3013,,0,0,0.719047619047619,0.0
N(=O)Cl,0.425267735404344,-0.958315203129387,12.2934,1.18195215007438,0,0,0.671428571428571,25.3734570391534
O,,,3.3646,,0,0,0.633333333333333,0.0
O=S(=O)(Cl)Cl,0.42048507486455,-0.96374667303045,20.9142,1.31304163673649,0,0,0.7,44.3129520701807
OS(=O)(=O)Cl,0.447310578698059,-1.38983807474326,17.3425,1.16958876641567,0,2,0.685714285714286,44.3129520701807
O=O,0.297285808594476,-1.22377543162212,2.8858,0.98435676908493,0,0,0.647619047619048,55.6118448353158
OO,0.297285808594476,-1.22377543162212,5.1292,0.77725,0,0,0.776190476190476,0.0
O=P(Br)(Br)Br,0.215111379616944,0.460079548048042,33.1637,1.73090478365185,0,0,0.733333333333333,20.2632178326991
O=S(=O)(F)F,0.676357011252472,-1.98687384782076,11.6442,0.976698834014833,0,0,0.685714285714286,44.3129520701807
S(SCl)Cl,0.0858106564131128,0.775464223049159,27.8596,1.49196031312324,0,0,0.761904761904762,0.0
F[Si](F)(F)F,0.709758446365142,-2.18590519865348,6.0052,1.04622720280652,0,0,0.661904761904762,0.0
P(=S)(Cl)(Cl)Cl,0.210585022066813,0.910835881191191,33.3579,1.63220710066286,0,0,0.661904761904762,0.0
O(F)F,0.631537698928254,-1.86961517176369,4.6217,0.753718391290779,0,0,0.657142857142857,0.0
NS(=O)(=O)O,0.505370773083028,-1.57005238569981,16.4903,1.05595692942089,6,5,0.690476190476191,44.3129520701807
NO,0.335257213064668,-1.02961941718116,7.8487,0.821524246011449,0,0,0.776190476190476,0.0
[N-]=[N+]=O,0.484584312560764,-1.22377543162212,,1.08840871898737,2,0,0.647619047619048,25.3734570391534
N(=O)[O],0.451966941759584,-1.38629436111989,,0.955760583939744,0,0,0.647619047619048,25.3734570391534
O=S(=O)(OS(=O)(=O)Cl)Cl,0.670441343024309,-1.76274252015756,31.1749,1.23825135205803,0,0,0.757142857142857,88.6259041403615
NN,0.371839380458504,-0.78845736036427,10.5682,0.8625,0,0,0.747619047619048,0.0
[SiH4],,,3.2,,0,0,0.633333333333333,0.0
II,-0.143927168806643,0.851005265175526,26.6816,3.0398,0,0,0.780952380952381,0.0
[N+](=O)(O)[O-],0.556467981644692,-1.64865862558738,9.4555,0.964169346012506,0,2,0.671428571428571,0.0
P(Cl)(Cl)Cl,0.278616100438034,0.738741768118338,25.2449,1.51895538721016,0,0,0.661904761904762,0.0
[N+](=O)([N+](=O)[O-])[O-],0.762113385024668,-1.94591014905531,13.7818,1.06469291851061,8,0,0.70952380952381,0.0
N,0.371839380458504,-0.78845736036427,5.4,1.22852538824081,0,0,0.647619047619048,0.0
N(F)(F)F,0.826934790358045,-2.08302262195098,7.4019,0.75458533774722,0,0,0.671428571428571,0.0
[Si](Cl)(Cl)(Cl)Cl,0.135841222911414,0.893513284184167,24.5452,1.64837217397659,0,0,0.661904761904762,0.0
S(Cl)Cl,0.16254392918528,0.575770312406373,20.0661,1.41673676449154,0,0,0.661904761904762,0.0
C=CC1=CC=CC=C1,0.0,0.0,35.7443,1.3227745617223,0,0,0.714285714285714,0.0
C1=CC=C(C=C1)C,0.203104095976487,-0.470003629245729,31.7957,1.33720144217271,0,0,0.714285714285714,0.0
C1=CC=C(C=C1)CO,0.159649817529532,-0.788457360364274,32.8739,1.24331754952948,0,0,0.80952380952381,0.0
C1=CC=C(C=C1)C=O,0.159649817529543,-0.788457360364268,32.649,1.29072239936156,0,0,0.738095238095238,25.1449270324178
C1=CC=C(C=C1)CS,-0.0833296075870042,0.331531479730035,39.0009,1.370498762217,0,0,0.714285714285714,0.0
COC1=CC=CC=C1,0.159649817529534,-0.788457360364267,32.5212,1.25335443799973,0,0,0.80952380952381,10.9998878876064
CCCCCCCCCCCC(=O)OC1=CC=C(C=C1)C,0.297285808594557,-1.22377543162214,88.2675,1.2333410682749,0,0,0.735714285714286,36.1448149200242
CCCCCCOC(=O)CC(C)C,0.297285808594449,-1.22377543162213,54.2645,1.18708614239702,0,0,0.923809523809524,59.6870189132048
COC(CC1=CC=CC=C1)OC,0.297285808594475,-1.22377543162211,48.2716,1.23014035521175,0,0,0.952380952380952,23.5422039931806
C1=CC=C(C=C1)CC2=CC=CC=C2,0.0,0.0,55.7952,1.33553201887493,0,0,0.714285714285714,0.0
C1=CC=C(C=C1)OC2=CC=CC=C2,0.159649817529554,-0.788457360364273,52.2988,1.3062259043699,0,0,0.738095238095238,10.9998878876064
C1=CC=C(C=C1)CC(=O)OCC2=CC=CC=C2,0.297285808594515,-1.22377543162212,66.7473,1.28270916205824,0,0,0.871428571428571,36.1448149200242
CC(=O)OCC(COC(=O)C)OC(=O)C,0.712263297752161,-2.10413415427021,47.9706,1.13350012862065,0,0,1.0,108.434444760073
CCCCC(CC)COC(=O)C,0.297285808594502,-1.22377543162212,49.5608,1.17319495418533,0,0,0.923809523809524,47.9159169166145
C1=CC=C(C=C1)COCC2=CC=CC=C2,0.159649817529524,-0.788457360364259,62.2377,1.29580790980475,0,0,0.80952380952381,0.0
C1=CC=C(C=C1)CC(=O)O,0.297285808594482,-1.22377543162212,37.3656,1.245238286539,0,1,0.752380952380952,67.828270193339
CCC(C)C(=O)OC,0.29728580859447,-1.22377543162211,31.2152,1.14951583359875,0,0,0.952380952380952,36.1448149200242
CCC(C)C(=O)OCC,0.297285808594483,-1.22377543162212,35.9632,1.1620789960576,0,0,0.952380952380952,71.4581209097951
CC1=CC=C(C=C1)CC=O,0.15964981752954,-0.788457360364266,41.4814,1.29832740381084,0,0,0.838095238095238,25.1449270324178
CCCCC1CCC(=O)O1,0.297285808594473,-1.22377543162211,38.4521,1.18792922387867,0,0,0.952380952380952,83.2292229063855
CCCCCC1CCC(=O)O1,0.297285808594481,-1.22377543162211,43.0531,1.18414226238651,0,0,0.952380952380952,83.2292229063855
CCCCCCCC1CCC(=O)O1,0.297285808594467,-1.22377543162211,52.2551,1.19431637303277,0,0,0.952380952380952,83.2292229063855
CCCCC(CC)CO,0.159649817529533,-0.788457360364267,40.4093,1.16004783027935,0,0,0.852380952380952,11.7711019965903
CCC1=CN=C(C=C1)C,0.203104095976488,-0.470003629245732,38.1348,1.26988167713969,0,0,0.838095238095238,0.0
CC1=CC=C(C=C1)OC,0.159649817529539,-0.78845736036427,37.5624,1.25790164111283,0,0,0.838095238095238,10.9998878876064
CC1CCCCCCCCCCCCC(=O)C1,0.159649817529554,-0.788457360364275,74.205,1.22187897793489,0,0,0.804761904761905,25.1449270324178
CCC(=O)OCC,0.297285808594473,-1.22377543162212,26.7877,1.12323910370914,0,0,0.952380952380952,71.4581209097951
CC(=O)CC(=O)OC,0.418249702467581,-1.52605630349505,27.308,1.1559211813666,0,0,0.952380952380952,61.2897419524419
CCC(C)OC(=O)C,0.297285808594475,-1.22377543162211,31.1032,1.15264339341327,0,0,0.952380952380952,95.0003249029758
CCCC(=O)OCC,0.297285808594479,-1.22377543162212,31.3887,1.15591532090615,0,0,0.952380952380952,71.4581209097951
CCOC(C)OCC,0.297285808594477,-1.22377543162212,33.2038,1.11546282532075,0,0,0.895238095238095,105.939917969313
CCCC(=O)OCCC,0.297285808594479,-1.22377543162212,35.9129,1.15650990683983,0,0,0.952380952380952,59.6870189132048
CC1=CC(=C(C=C1)O)C,0.159649817529534,-0.78845736036427,37.8345,1.27169489028976,0,0,0.814285714285714,42.6833431609212
CCC(=O)OCCC(C)C,0.297285808594482,-1.22377543162212,40.4615,1.16275415851328,0,0,0.952380952380952,59.6870189132048
C1CCCCCC(=O)OCCOC(=O)CCCCC1,0.526147639863743,-1.75785791755236,72.5152,1.17248645430282,0,0,0.976190476190476,72.2896298400484
NCl,0.30520268616977,-0.341672975020385,11.4204,1.03689173374052,0,0,0.657142857142857,0.0
CC(CCC=C(C)C)CCO,0.159649817529524,-0.788457360364262,50.4857,1.20580828367677,0,0,0.90952380952381,23.5422039931806
CC(CCC=C(C)C)CC=O,0.159649817529545,-0.788457360364279,49.2974,1.23808309485749,0,0,0.90952380952381,25.1449270324178
CC(=CCCC(=CC=O)C)C,0.159649817529551,-0.78845736036427,50.1992,1.2590369167213,0,0,0.938095238095238,25.1449270324178
CCCC(=O)OCCC(C)C,0.297285808594444,-1.22377543162212,45.0625,1.18170229558845,0,0,0.923809523809524,59.6870189132048
CCCCCCC(=O)OCC,0.297285808594494,-1.22377543162209,45.1917,1.17128377594895,0,0,0.923809523809524,71.4581209097951
CCCC(=O)OC(=O)CCC,0.41824970246758,-1.52605630349506,40.5378,1.16953765717085,0,0,0.952380952380952,61.2897419524419
CCCCCCCC(=O)OCC,0.297285808594467,-1.2237754316221,49.7927,1.17485352801948,0,0,0.923809523809524,71.4581209097951
CCCCCCCCCCCC(=O)OCC,0.297285808594462,-1.22377543162208,68.1967,1.18230874476421,0,0,0.711904761904762,71.4581209097951
CCCOC(=O)CC,0.297285808594471,-1.22377543162211,31.3119,1.12885048045985,0,0,0.952380952380952,59.6870189132048
CC1=CC=C(C=C1)O,0.15964981752954,-0.788457360364269,32.7933,1.26502044082474,0,0,0.785714285714286,42.6833431609212
C1=CC(=CC=C1Cl)Cl,0.233806499482463,0.325988906606371,35.6676,1.37163817558293,0,0,0.690476190476191,0.0
COC(=O)CCC(=O)OC,0.526147639863771,-1.75785791755238,33.0752,1.11596271694276,0,0,0.952380952380952,72.2896298400484
CCCCCC(=O)CC,0.159649817529533,-0.788457360364267,39.2516,1.178517106145,0,0,0.90952380952381,25.1449270324178
CCCCCCC(=O)OC,0.297285808594478,-1.22377543162212,40.4437,1.16200840290732,0,0,0.952380952380952,36.1448149200242
C=CC=O,0.159649817529538,-0.788457360364269,16.4411,1.23578713330027,0,0,0.723809523809524,25.1449270324178
CCCS,-0.083329607587005,0.331531479730043,23.6605,1.32155058706665,0,0,0.8,23.5422039931806
CCCN,0.203104095976481,-0.470003629245736,19.191,1.10020391916938,0,0,0.895238095238095,23.5422039931806
C=CCO,0.159649817529538,-0.78845736036427,17.424,1.14084251622547,0,0,0.923809523809524,0.0
C,0.159649817529537,-0.78845736036427,15.8415,1.21532362441403,0,0,0.8,0.0
COC=O,0.297285808594475,-1.22377543162212,12.8204,1.07862755211342,0,0,0.866666666666667,36.1448149200242
CC(CCCC(C)(C)O)CC=O,0.297285808594473,-1.22377543162212,50.2819,1.1884951289069,0,0,0.923809523809524,119.31374300514
CC(=CC=O)C,0.159649817529543,-0.788457360364271,26.3966,1.25837021124755,0,0,0.938095238095238,25.1449270324178
CCCC(=O)C,0.159649817529535,-0.788457360364268,25.4227,1.19982574005396,0,0,0.90952380952381,25.1449270324178
CCCC(=O)O,0.297285808594471,-1.22377543162212,21.8716,1.12177177949661,0,1,0.952380952380952,67.828270193339
C(CS)S,-0.160246349142099,0.580090458267647,26.8076,1.4613150471887,0,0,0.842857142857143,0.0
CC(C)CCS,-0.0833296075870107,0.331531479730046,32.8101,1.29434906584986,0,0,0.757142857142857,23.5422039931806
CCC(C)CC(=O)CC,0.159649817529537,-0.788457360364274,39.1992,1.18679871685634,0,0,0.90952380952381,25.1449270324178
CC1CCCCCCCCCCCCC(=O)C1,0.159649817529554,-0.788457360364275,74.205,1.22187897793489,0,0,0.804761904761905,25.1449270324178
CCN=C=S,0.129535921349034,-0.188055088641712,26.0771,1.33780388214243,0,0,0.838095238095238,35.313305989771
CC(C)(CCCC(=C)C=C)O,0.159649817529539,-0.788457360364273,49.3635,1.22600097879904,0,0,0.90952380952381,94.1688159727225
CCCCCC(C)O,0.159649817529524,-0.788457360364267,35.7547,1.15263799987849,0,0,0.852380952380952,58.8555099829516
CCCCSCCCC,-0.0833296075870042,0.33153147973006,46.9333,1.25049151053059,0,0,0.757142857142857,47.0844079863613
CC1C2CC2(CC1=O)C(C)C,0.159649817529547,-0.788457360364268,44.5396,1.22961301142656,0,0,0.90952380952381,25.1449270324178
CC(=O)CCC1=CC=C(C=C1)O,0.29728580859447,-1.22377543162211,47.2118,1.24256246636537,0,0,0.852380952380952,67.828270193339
CC(=O)C1=CC=CC=C1N,0.335257213064665,-1.02961941718115,41.1612,1.26571583646303,4,0,0.752380952380952,25.1449270324178
CCC(=O)OC,0.297285808594482,-1.22377543162212,22.0397,1.10490513014597,0,0,0.952380952380952,36.1448149200242
CCC(C)C(=O)OC,0.29728580859447,-1.22377543162211,31.2152,1.14951583359875,0,0,0.952380952380952,36.1448149200242
CC(C)CC(=O)OC,0.297285808594475,-1.22377543162212,31.1893,1.16851915477738,0,0,0.952380952380952,36.1448149200242
CN=C=S,0.129535921349035,-0.188055088641715,21.3291,1.38402154751048,0,0,0.8,0.0
CSC,0.129535921349036,-0.188055088641715,19.6888,1.37644545568212,0,0,0.8,0.0
CC(=CCO)C,0.159649817529537,-0.788457360364267,27.3795,1.19600616599053,0,0,0.90952380952381,0.0
CCC=CCCC=CC=O,0.159649817529539,-0.788457360364263,46.2362,1.24823765946625,0,0,0.938095238095238,25.1449270324178
CC1=CC(=C(O1)C)SC(=O)C2=CC=CO2,0.359351359142137,-1.43672603441858,58.3927,1.3389690670531,0,0,0.871428571428571,44.1596196049152
CCCC=CC=CC=O,0.159649817529537,-0.78845736036427,41.6352,1.24725545273523,0,0,0.938095238095238,25.1449270324178
CCCCC(CC)C(=O)O,0.297285808594479,-1.22377543162212,40.2491,1.15954726296143,0,1,0.952380952380952,67.828270193339
CC(C)C(=O)C,0.159649817529544,-0.78845736036427,25.3962,1.20561618314801,0,0,0.90952380952381,25.1449270324178
C=CCN=C=S,0.129535921349036,-0.18805508864172,30.4918,1.38545678998978,0,0,0.838095238095238,0.0
C1=CC=C(C=C1)C=CC=O,0.159649817529548,-0.788457360364266,42.2096,1.30159221238966,0,0,0.738095238095238,25.1449270324178
CCCCC1=C(SC=N1)C,0.129535921349039,-0.188055088641716,46.4721,1.32787931474982,0,0,0.938095238095238,0.0
CC1=C(C(=CC=C1)C)O,0.159649817529537,-0.788457360364269,37.8345,1.27080527142617,0,0,0.814285714285714,42.6833431609212
CCOC(=O)C(C(C(=O)OCC)O)O,0.712263297752192,-2.10413415427021,45.3978,1.09910040855805,0,0,1.0,142.91624181959
CC1CCCCC1=O,0.159649817529537,-0.788457360364267,32.8219,1.21980962686376,0,0,0.914285714285714,25.1449270324178
CCC(CC)O,0.159649817529536,-0.788457360364268,26.4759,1.10834226841347,0,0,0.852380952380952,47.0844079863613
CC(=CCC(CO)C(=C)C)C,0.159649817529548,-0.788457360364272,50.134,1.23445523934321,0,0,0.90952380952381,11.7711019965903
CCCCOCC1=CC=CC=C1,0.159649817529527,-0.788457360364294,51.4983,1.24959463228055,0,0,0.938095238095238,23.5422039931806
CC1=CC=C(C=C1)CO,0.159649817529539,-0.788457360364272,37.9151,1.25642849863056,0,0,0.838095238095238,0.0
CC(C)CC(=O)OCC(C)C,0.29728580859447,-1.22377543162212,44.9333,1.18607510769732,0,0,0.923809523809524,47.9159169166145
CCCCOC(=O)CC,0.297285808594467,-1.22377543162212,35.9129,1.14129354523064,0,0,0.952380952380952,59.6870189132048
CC(C)CC=O,0.15964981752954,-0.788457360364272,25.4948,1.21892329908279,0,0,0.90952380952381,25.1449270324178
CC1CCCC(C1)O,0.159649817529535,-0.788457360364273,33.8233,1.18229159684412,0,0,0.857142857142857,47.0844079863613
CCCCC(=O)C,0.159649817529533,-0.788457360364274,30.0237,1.20037634275696,0,0,0.90952380952381,25.1449270324178
CCCCC=CC=CC=O,0.159649817529527,-0.788457360364265,46.2362,1.2499880016025,0,0,0.938095238095238,25.1449270324178
CC1=NC=CN=C1C,0.371839380458506,-0.788457360364272,30.9272,1.27113452953335,0,0,0.828571428571429,0.0
CCCCOC=O,0.297285808594471,-1.22377543162212,26.6936,1.137352160218,0,0,0.952380952380952,59.6870189132048
C=CCSCC=C,-0.0833296075870025,0.331531479730045,37.5123,1.34864597263783,0,0,0.842857142857143,0.0
CCCCCC1CCCC(=O)O1,0.297285808594481,-1.22377543162213,47.6541,1.18400396780437,0,0,0.952380952380952,83.2292229063855
CC(CCC=C(C)C)CC=O,0.159649817529545,-0.788457360364279,49.2974,1.23808309485749,0,0,0.90952380952381,25.1449270324178
CCCCCCC(C)O,0.159649817529537,-0.788457360364261,40.3557,1.16833122745013,0,0,0.852380952380952,58.8555099829516
CC(C)C(C)O,0.159649817529543,-0.78845736036427,26.4235,1.14954739276736,0,0,0.852380952380952,47.0844079863613
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,0.712263297752149,-2.1041341542702,75.6543,1.15607482654192,0,0,0.857142857142857,108.434444760073
C1=CC=C(C=C1)CCO,0.159649817529543,-0.788457360364267,37.6285,1.2556224330548,0,0,0.838095238095238,23.5422039931806
CCOCC,0.159649817529536,-0.788457360364267,22.5085,1.10897713905696,0,0,0.895238095238095,70.6266119795419
CCC(=O)C(=O)C,0.297285808594475,-1.22377543162212,26.1677,1.17673867243532,0,0,0.952380952380952,50.2898540648355
CCCC(C)O,0.159649817529538,-0.78845736036427,26.5527,1.14578018793904,0,0,0.852380952380952,58.8555099829516
CCCCCCC=CC=O,0.159649817529539,-0.788457360364278,45.1196,1.22492391669702,0,0,0.938095238095238,25.1449270324178
C1=CC=C(C=C1)C(=O)CN,0.335257213064668,-1.02961941718116,39.9707,1.24228802886533,3,0,0.752380952380952,25.1449270324178
CCOC(=O)C1=CC=CO1,0.418249702467579,-1.52605630349505,34.7244,1.23798034506866,0,0,0.852380952380952,80.9654671960438
CCC(C)CO,0.159649817529544,-0.788457360364273,26.6063,1.13194702887231,0,0,0.852380952380952,11.7711019965903
CCC(C=C)O,0.159649817529531,-0.788457360364269,26.3664,1.16431733703458,0,0,0.90952380952381,23.5422039931806
