,SM1_Dz(i),SM1_Dz(p),AMR,SpPosA_B(p),T(N..O),CATS2D_02_DA,DLS_cons,P_VSA_MR_2
C(C(F)(F)Cl)(F)F,0.93471986734252,-2.23846248535247,16.8143,0.962011273926468,0,0,0.761904761904762,59.8404530840499
CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C,0.556467981644681,-1.64865862558738,59.592,1.22664843503433,9,2,1.0,141.313518780353
CCNC1=NC(=NC(=N1)Cl)NC(C)C,0.814346595961785,-1.33692027650208,62.214,1.22064816302002,0,4,1.0,105.939917969313
C(CC(C(=O)O)N)CN=C(N)N,0.809595993203184,-1.75785791755237,43.7046,1.10417662437131,50,3,0.792857142857143,114.9126781797
CC(COC(C)COC)O,0.418249702467595,-1.52605630349504,39.1847,1.11785369495653,0,0,0.923809523809524,70.6266119795419
C(C(F)(Cl)Cl)(F)F,0.843504962148503,-1.95207681034099,21.6491,1.07258168023111,0,0,0.761904761904762,44.8803398130374
C(C(F)(F)F)(C(F)(F)Cl)Cl,1.10918948570588,-2.4273746367568,26.7175,0.992611530857201,0,0,0.809523809523809,74.8005663550623
CC1(CC2=C(O1)C(=CC=C2)O)C,0.297285808594491,-1.22377543162212,46.5803,1.25751647543905,0,0,0.828571428571429,147.85204702125
CC(F)F,0.534971745594069,-1.66502397967365,11.4436,0.952789020498941,0,0,0.747619047619048,65.2335325317959
CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C,0.0,0.0,85.491,1.36725155611944,0,0,0.616666666666667,0.0
C(C(=O)O)O,0.418249702467582,-1.52605630349505,14.4961,1.0177340322995,0,1,0.852380952380952,67.828270193339
C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,0.0,0.0,83.1728,1.39203967197191,0,0,0.616666666666667,0.0
C1=CC=C2C(=C1)N=C(S2)N,0.310054923303504,-0.591612669735647,43.3401,1.36811869009487,0,1,0.728571428571429,0.0
C(C(=O)O)N(CC(=O)O)CC(=O)O,0.817044817216182,-2.17475172148416,38.6925,1.09927195598251,18,3,0.866666666666667,203.484810580017
C1=CC(=CC=C1C(=O)O)Cl,0.390622161238393,-1.16542946170543,37.6212,1.26759791748439,0,1,0.723809523809524,67.828270193339
C1=CC=C(C(=C1)C(=O)O)C(=O)O,0.526147639863783,-1.75785791755237,39.5748,1.1944949225955,0,2,0.723809523809524,135.656540386678
C([C@@H](C(=O)O)N)C(=O)O,0.651074404138043,-1.85629799036563,26.6078,1.07757495067325,14,2,0.842857142857143,135.656540386678
C(C(C(C(C(C=O)O)O)O)O)O,0.712263297752171,-2.10413415427021,37.4207,1.04268929543053,0,0,0.914285714285714,25.1449270324178
CC1=CN(C(=O)NC1=O)C2C=CC(O2)CO,0.762113385024657,-1.94591014905532,55.3163,1.19931139385387,28,3,1.0,50.2898540648355
CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],0.998497250665143,-2.30258509299405,53.0733,1.19273543648372,60,0,0.747619047619048,0.0
C(CC(=O)O)CO,0.418249702467583,-1.52605630349505,23.7999,1.07405157223508,0,1,0.952380952380952,91.3704741865196
C1=CC(=CN=C1)C(=O)O,0.451966941759586,-1.38629436111989,30.6595,1.21546737210726,8,1,0.723809523809524,67.828270193339
C(C1C(C(C(C(=O)O1)O)O)O)O,0.712263297752177,-2.1041341542702,34.8539,1.05901512805349,0,0,0.914285714285714,36.1448149200242
CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,0.8264535478682,-1.57165296807136,86.577,1.27987095422511,24,0,0.892857142857143,23.5422039931806
C(F)F,0.534971745594069,-1.66502397967365,6.6013,0.856414066630994,0,0,0.647619047619048,29.9202265420249
CCOC1=CC=CC=C1C(=O)N,0.451966941759585,-1.38629436111989,45.8498,1.21912821671608,6,1,0.852380952380952,71.4581209097951
CCCC(C)(COC(=O)N)COC(=O)N,0.762113385024667,-1.94591014905532,53.0367,1.11835134311117,36,4,1.0,72.2896298400484
CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCCCC2,0.745739630679098,-1.79290880848457,81.7333,1.23294084214334,29,4,1.0,116.54228708896
CC(CO)OCC(C)O,0.418249702467581,-1.52605630349505,34.4335,1.09272645322463,0,0,0.923809523809524,70.6266119795419
CC(C)C(C(=O)O)N,0.451966941759588,-1.38629436111989,29.5678,1.11107292239269,6,1,0.914285714285714,79.5993721899293
CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl,0.532450119862659,-1.3369202765021,74.0777,1.23535247025917,4,0,1.0,25.1449270324178
C(=CC(=O)O)C(=O)O,0.526147639863769,-1.75785791755237,24.7572,1.10790310806883,0,2,0.752380952380952,135.656540386678
C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,-0.0712037590063671,0.415547443449687,86.433,1.38466356040783,0,0,0.640476190476191,0.0
CC1=CC(=CC(=C1)OC(=O)NC)C(C)C,0.451966941759557,-1.38629436111989,59.9958,1.22964000478253,4,2,1.0,36.1448149200242
CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,0.67788124688951,-1.75785791755237,58.0029,1.18910569506882,16,4,1.0,75.4347810972533
C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC6=CC=CC=C56)C=C3,0.0,0.0,99.623,1.39284472589353,0,0,0.564285714285714,0.0
CCOC(=O)N,0.451966941759582,-1.38629436111989,20.8375,1.08346077892714,4,2,0.938095238095238,71.4581209097951
ClC(Cl)(F)F,0.678439551687671,-1.58931683443788,17.579,1.09561174661005,0,0,0.661904761904762,0.0
C(CO)C(CO)O,0.41824970246758,-1.52605630349505,25.3815,1.04000678894763,0,0,0.90952380952381,23.5422039931806
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,1.78369369481569,-3.43400655913655,31.5412,0.871163967026542,0,0,0.745238095238095,209.441585794174
CN(C)NC(=O)CCC(=O)O,0.677881246889523,-1.75785791755238,38.8506,1.12636283505457,27,2,0.952380952380952,92.9731972257567
CCC(C)N1C(=O)C(=C(NC1=O)C)Br,0.611665938692071,-1.42959328551503,57.9842,1.25485207637823,10,2,1.0,144.458670037558
C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N,0.516171310090747,-1.02961941718116,65.0774,1.28451760499924,0,0,0.752380952380952,0.0
C(C(C(F)(F)F)(F)F)(Cl)Cl,1.10918948570588,-2.4273746367568,26.4845,1.00108770908176,0,0,0.809523809523809,74.8005663550623
C1=NNC(=N1)N,0.642274850186189,-1.22377543162211,23.1252,1.19378600163908,0,2,0.728571428571429,0.0
CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,0.614482689376275,-1.38629436111987,98.7331,1.27968787796853,14,0,0.9,119.31374300514
C(C,0.335257213064668,-1.02961941718116,13.4754,1.16876892636616,3,0,0.728571428571429,0.0
C1=CC=C2C(=C1)C=C3C=CC4=C5C3=C2C6=CC=CC=C6C5=CC=C4,0.0,0.0,99.623,1.39692653325534,0,0,0.564285714285714,0.0
CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl,0.532450119862659,-1.3369202765021,74.0777,1.23535247025917,4,0,1.0,25.1449270324178
CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O,0.741079834315239,-1.99373385996466,67.8726,1.23520171312793,12,1,0.9,151.828707208708
CC(CO)O,0.297285808594476,-1.22377543162211,18.9718,1.04407425775696,0,0,0.923809523809524,35.313305989771
C(F)(F)(F)Br,0.745739630679116,-1.94672410341885,15.5429,1.02572172232212,0,0,0.661904761904762,0.0
C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,0.946393075690593,-1.64865862558738,72.0632,1.25489734515229,0,4,0.65,0.0
C(F)(F)(F)F,0.881616467940132,-2.25880038062303,8.309,0.767645227282879,0,0,0.661904761904762,0.0
CC(C(=O)O)N,0.451966941759585,-1.38629436111989,20.5718,1.08394741747315,6,1,0.914285714285714,103.14157618311
C(CC(C(=O)O)N)CNC(=O)N,0.786136487402782,-1.85629799036562,41.4033,1.0999016926915,45,3,0.792857142857143,140.057605212118
C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,1.04211248142863,-2.46809953147163,62.9464,1.11167623916767,72,4,0.723809523809524,271.313080773356
CC(F)(F)Cl,0.609276321522798,-1.62788668250256,16.5477,1.05208114357767,0,0,0.79047619047619,29.9202265420249
CC(C)(C)C(=O)C1C(=O)C2=CC=CC=C2C1=O,0.418249702467573,-1.52605630349506,64.1092,1.27520171750152,0,0,0.9,75.4347810972533
C1=CC(=NC(=C1Cl)C(=O)O)Cl,0.606935483740878,-1.2849811994194,40.9584,1.27231455116893,6,1,0.723809523809524,67.828270193339
C(C(F)(F)F)Cl,0.785179266006438,-1.97906856753305,16.7624,0.947373074476835,0,0,0.79047619047619,44.8803398130374
C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,0.656638785743424,-1.48326225706236,76.0953,1.28547528827205,10,2,0.771428571428571,25.1449270324178
CC(=O)NC1=CC=C(C=C1)O,0.451966941759573,-1.38629436111989,40.8343,1.22727565785357,7,1,0.752380952380952,67.828270193339
CO,0.159649817529538,-0.78845736036427,8.2613,0.930280222004527,0,0,0.857142857142857,0.0
C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.660055645559751,-1.57005238569981,67.528,1.27636480113937,24,3,0.8,44.3129520701807
COC(=O)C1=CC=C(C=C1)C(=O)OC,0.526147639863775,-1.75785791755237,49.113,1.20266186767443,0,0,0.752380952380952,72.2896298400484
CC1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-],0.839798380885642,-2.10413415427021,47.4427,1.19461370214297,28,0,0.723809523809524,42.6833431609212
CCCCCCCCCCCCCCCCCO,0.159649817529578,-0.788457360364239,81.9475,1.18890689782383,0,0,0.564285714285714,23.5422039931806
CCC(C)C(C(=O)O)N,0.45196694175959,-1.38629436111989,34.1688,1.12239421146591,6,1,0.938095238095238,79.5993721899293
C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,0.585895989812942,-1.52605630349505,69.9813,1.27689562656526,9,3,0.8,50.2898540648355
CC1=CC(=CC(=C1N(C)C)C)OC(=O)NC,0.585895989812984,-1.52605630349506,65.2748,1.22882737621241,16,2,1.0,36.1448149200242
CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C,0.770154516920756,-1.68767591568473,75.1647,1.26963430843389,32,4,0.8,44.3129520701807
CC(C)CC(C)(C,0.642274850186166,-1.22377543162212,76.7092,1.25979144062798,0,0,1.0,117.711019965903
C1=CC(=CC=C1C(=O)O)[N+](=O)[O-],0.651074404138034,-1.85629799036563,40.1411,1.19896963060891,12,1,0.723809523809524,67.828270193339
C(C(=O)O)NCP(=O)(O)O,0.701561679160956,-1.95795164409213,31.3181,1.11016993570374,15,4,0.866666666666667,88.091488026038
O=C=O,0.297285808594476,-1.22377543162212,6.3844,1.11330274232245,0,0,0.671428571428571,50.2898540648355
CN1C=NC2=C1C(=O)NC(=O)N2C,0.809595993203193,-1.75785791755238,44.4367,1.22399742297344,26,3,0.757142857142857,50.2898540648355
CC1=CC(NC2=CC=CC=C12)(C)C,0.203104095976478,-0.470003629245722,58.4628,1.30019176072351,0,0,0.814285714285714,70.6266119795419
CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,0.397836080943686,-0.194414804481324,85.7406,1.32334190746917,0,0,0.764285714285714,23.5422039931806
C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,0.526147639863792,-1.75785791755237,67.4384,1.23517445535277,0,0,0.8,72.2896298400484
C(C(F)(F)F)(C(F)(F)F)(F)F,1.34276035909616,-2.89829583486251,17.5372,0.844697169625106,0,0,0.761904761904762,119.6809061681
C(CCC(=O)O)CC(=O)O,0.526147639863781,-1.75785791755238,32.739,1.11388055058565,0,2,0.952380952380952,135.656540386678
CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,0.651074404138071,-1.85629799036562,80.6618,1.22919171165631,18,0,0.928571428571429,142.91624181959
CCOC(=O)C1=CC=C(C=C1)O,0.418249702467594,-1.52605630349505,44.0276,1.21521098588804,0,0,0.852380952380952,114.141464070716
CCC(C)(C,0.642274850186196,-1.22377543162213,58.41,1.2500705937473,0,0,0.952380952380952,117.711019965903
C12=C(NC(=O)N1)NC(=O)NC2=O,0.883808861628903,-1.94591014905531,35.7138,1.16864453784838,39,5,0.685714285714286,75.4347810972533
COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,0.883808861628895,-1.94591014905532,81.5094,1.20923442250117,94,3,1.0,32.9996636628193
CC(CC(=O)O)O,0.418249702467587,-1.52605630349505,23.4635,1.09668626213325,0,1,0.952380952380952,103.14157618311
C1CN1C2=NC(=NC(=N2)N3CC3)N4CC4,0.854925836122558,-1.52605630349505,59.7384,1.11763730159828,0,0,1.0,0.0
CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,0.58589598981295,-1.52605630349506,88.7583,1.26970018007881,10,0,0.9,50.2898540648355
CCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCC,0.52614763986372,-1.75785791755237,86.0614,1.21091987636983,0,0,0.857142857142857,119.37403782641
C1=CN=CC=C1C(=O)NN,0.614482689376266,-1.38629436111989,36.9658,1.20454127928529,10,1,0.752380952380952,25.1449270324178
C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)C3C(=O)C4=CC=CC=C4C3=O,0.418249702467542,-1.52605630349505,99.7982,1.31434695715175,0,0,0.871428571428571,75.4347810972533
C(CCl)C(F)(F)F,0.785179266006439,-1.97906856753305,19.674,1.00814169586905,0,0,0.79047619047619,44.8803398130374
CC1(OCC(O1)CO)C,0.41824970246758,-1.52605630349505,32.7231,1.12457657369589,0,0,0.952380952380952,70.6266119795419
C(F)(F)F,0.723239820867114,-2.00535087706865,6.8629,0.807459424803569,0,0,0.676190476190476,44.8803398130374
CC(=O)OCCOCCOCCOC(=O)C,0.712263297752197,-2.10413415427021,54.9436,1.12288323512058,0,0,0.857142857142857,72.2896298400484
C(C(F)(F)F)(C(F)(Cl)Cl)F,1.10918948570588,-2.4273746367568,26.8092,1.01448823890658,0,0,0.809523809523809,59.8404530840499
CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,0.556467981644742,-1.64865862558737,90.0306,1.21801859213557,13,1,0.976190476190476,78.8281580809454
CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC,0.712263297752163,-2.10413415427022,105.7119,1.25525390049837,0,0,0.9,103.686570463631
CCCCCCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O,0.623529113679013,-1.94591014905531,93.349,1.1841047374587,0,0,0.821428571428571,187.737048395968
CC,0.0,0.0,11.0042,1.05,0,0,0.747619047619048,0.0
C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,0.526147639863798,-1.75785791755236,88.3133,1.28012573191131,0,0,0.771428571428571,121.511501241867
CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl,0.578129068975674,-1.43855468778099,52.7838,1.25499801629276,0,1,0.9,114.141464070716
C(CCO)CO,0.29728580859448,-1.22377543162212,24.0628,1.06914257613861,0,0,0.895238095238095,47.0844079863613
C(C(C(F)(F)Cl)(F)Cl)(F)F,1.10918948570588,-2.4273746367568,26.4008,1.01947178882591,0,0,0.809523809523809,74.8005663550623
COc1c(OC)ncnc1NS(=O)(=O)c1ccc(cc1)N,0.918807561998436,-2.05500795803856,79.6211,1.22651086788839,74,3,0.8,66.3127278453936
CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,0.67788124688951,-1.75785791755237,58.0029,1.18910569506882,16,4,1.0,75.4347810972533
C(C(C(F)(Cl)Cl)(F)F)(F)F,1.10918948570588,-2.4273746367568,26.3171,1.02181240345291,0,0,0.809523809523809,74.8005663550623
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,0.41824970246757,-1.52605630349505,63.7009,1.28609489429223,0,0,0.747619047619048,110.51161335426
C(C(F)(F)Cl)(C(F)(F)Cl)F,1.10918948570588,-2.4273746367568,26.8092,1.01716765955222,0,0,0.809523809523809,59.8404530840499
C(C(F)(F)Cl)(F)Cl,0.843504962148502,-1.95207681034099,21.7328,1.06794227123953,0,0,0.761904761904762,44.8803398130374
CC(CCl)Br,0.164327293421675,0.479768299300647,28.0573,1.36931995837538,0,0,0.761904761904762,35.313305989771
C(=O)(C(=O)O)O,0.526147639863776,-1.75785791755237,14.4386,1.04533611842185,0,2,0.80952380952381,135.656540386678
COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,0.526147639863779,-1.75785791755238,56.928,1.28070147289538,0,0,0.771428571428571,56.6520490938793
C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,0.649404257612049,-1.39175442778925,53.1704,1.26712019553439,0,1,0.771428571428571,78.8281580809454
C1(C(O1)(F)F)(C(F)(F)F)F,1.19249721085091,-2.71186956470499,16.8153,0.886898276571641,0,0,0.885714285714286,89.7606796260748
C=CC(=O)N,0.335257213064666,-1.02961941718116,19.1887,1.17443010101787,2,1,0.738095238095238,25.1449270324178
C1=C(C=C(C(=C1O)O)O)C(=O)O,0.623529113679076,-1.94591014905531,37.8987,1.14732821282065,0,1,0.723809523809524,195.878299676103
C1=CC(=CC(=C1)N=NC2=C(C=C(C=C2)N)N)N=NC3=C(C=C(C=C3)N)N,1.03019068254944,-1.75785791755239,113.4976,1.26133139344661,0,0,0.583333333333333,0.0
C(C(CO)(CO)CO)O,0.52614763986378,-1.75785791755238,31.7277,1.04398977775923,0,0,0.90952380952381,0.0
C(C(F)(F)F)(F)(F)F,1.13853788154043,-2.62881938597693,12.8692,0.822783811545943,0,0,0.761904761904762,89.7606796260748
C(CCl)OP(=O)(OCCCl)OCCCl,0.699973825902221,-1.54898702552488,56.9354,1.20749958379519,0,0,1.0,20.2632178326991
CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-],0.737498938130438,-2.02814824729229,72.3876,1.24415791968542,12,0,0.771428571428571,110.51161335426
COc1cnc(nc1)NS(=O)(=O)c1ccc(cc1)N,0.847240715897348,-1.88811455747082,72.4449,1.24060283765416,54,4,0.8,55.3128399577872
C1=CC(=C(C(=C1)O)O)O,0.418249702467587,-1.52605630349505,31.1403,1.17153588512474,0,0,0.728571428571429,128.050029482764
C1=CC(=C(C=C1N)C(=O)O)O,0.556467981644703,-1.64865862558738,39.2109,1.18456584106333,15,1,0.752380952380952,110.51161335426
CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,0.824657782762113,-1.97503890044712,89.318,1.2141423325611,64,3,1.0,162.855480966337
C1=CC=C2C(=C1)C=CC=C2N=C=S,0.129535921349022,-0.188055088641722,57.5569,1.39427472328933,0,0,0.673809523809524,0.0
C1=CC2=NNN=C2C=C1,0.516171310090739,-1.02961941718116,34.3802,1.30962762801559,0,0,0.7,0.0
C1CC(OC1CO)N2C=CC(=NC2=O)N,0.786136487402777,-1.85629799036562,52.5149,1.18150459216693,41,1,1.0,72.229335018779
C1=CC(=C(C=C1Cl)SC2=C(C=CC(=C2)Cl)O)O,0.420485074864541,-0.963746673030458,71.7399,1.33517078139929,0,0,0.771428571428571,85.3666863218424
C=CO,0.159649817529538,-0.788457360364271,11.6667,1.14796340472102,0,0,0.7,42.6833431609212
C1=CC=C(C(=C1)C(=O)O)N,0.451966941759581,-1.38629436111989,37.5168,1.2193105267644,8,1,0.752380952380952,67.828270193339
C(=C(F)F)(F)F,0.881616467940133,-2.25880038062302,12.4054,0.904386716822809,0,0,0.661904761904762,0.0
CC1=CC(=C(C=C1)OC)N,0.335257213064662,-1.02961941718116,42.2628,1.24149507641755,3,0,0.880952380952381,10.9998878876064
C1=CC(=CC=C1CC2=CC=C(C=C2)N=C=O)N=C=O,0.585895989812952,-1.52605630349504,69.9108,1.29926686833578,28,0,0.771428571428571,50.2898540648355
CCC(CC)(C(=O)NC(=O)N)Br,0.611665938692057,-1.42959328551504,48.6996,1.21021029454641,10,3,1.0,97.3742620511968
CNC(=O)OC1=CC=CC2=CC=CC=C21,0.4519669417596,-1.38629436111989,57.214,1.26536558951389,4,2,0.8,36.1448149200242
C(CC,0.371839380458503,-0.788457360364274,21.4956,1.30236379757407,0,0,0.852380952380952,0.0
C1=CC(=CC=C1N=C=S)N=C=S,0.24420029383982,-0.346281114754733,56.1554,1.41378128755505,0,0,0.688095238095238,0.0
CCCCCCCCN[C@@H]([C@H](c1ccc(cc1)SC(C)C)O)C,0.271095268847419,-0.878339612445639,104.0366,1.25146185460341,3,0,0.735714285714286,129.482121962493
CC(C)CC(C(=O)O)N,0.45196694175958,-1.38629436111989,34.2456,1.13980916378224,6,1,0.938095238095238,91.3704741865196
CC(=O)NC1=NN=C(S1)S(=O)(=O)N,0.809284418188999,-1.82677262506506,48.7977,1.25365086053668,46,4,0.733333333333333,69.4578791025985
CC(C)(C)C1=NN=C(S1)N(C)C(=O)NC,0.686625963569686,-1.43672603441859,62.5956,1.24645145871514,13,2,1.0,25.1449270324178
