SMILES,cluster,odour
C1=CC(=NC(=C1Cl)C(=O)O)Cl,4,False
C(C(F)(F)F)Cl,0,False
C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,8,False
CC(=O)NC1=CC=C(C=C1)O,6,False
CO,0,False
C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N,9,False
COC(=O)C1=CC=C(C=C1)C(=O)OC,6,False
CC1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-],6,False
CCCCCCCCCCCCCCCCCO,7,False
CCC(C)C(C(=O)O)N,6,False
C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,8,False
CC1=CC(=CC(=C1N(C)C)C)OC(=O)NC,8,False
CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C,9,False
CC(C)CC(C)(C#N)N=NC(C)(CC(C)C)C#N,5,False
C1=CC(=CC=C1C(=O)O)[N+](=O)[O-],4,False
C(C(=O)O)NCP(=O)(O)O,4,False
O=C=O,0,False
CN1C=NC2=C1C(=O)NC(=O)N2C,6,False
CC1=CC(NC2=CC=CC=C12)(C)C,1,False
CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,7,False
C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,9,False
C(C(F)(F)F)(C(F)(F)F)(F)F,4,False
C(CCC(=O)O)CC(=O)O,4,False
CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,7,False
CCOC(=O)C1=CC=C(C=C1)O,6,False
CCC(C)(C#N)N=NC(C)(CC)C#N,1,False
C12=C(NC(=O)N1)NC(=O)NC2=O,4,False
COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,8,False
CC(CC(=O)O)O,4,False
C1CN1C2=NC(=NC(=N2)N3CC3)N4CC4,9,False
CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,7,False
CCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCC,7,False
C1=CN=CC=C1C(=O)NN,4,False
C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)C3C(=O)C4=CC=CC=C4C3=O,7,False
C(CCl)C(F)(F)F,0,False
CC1(OCC(O1)CO)C,6,False
C(F)(F)F,0,False
CC(=O)OCCOCCOCCOC(=O)C,1,False
C(C(F)(F)F)(C(F)(Cl)Cl)F,4,False
CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,7,False
CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC,7,False
CCCCCCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O,7,False
CC,0,False
C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,7,False
CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl,6,False
C(CCO)CO,4,False
C(C(C(F)(F)Cl)(F)Cl)(F)F,4,False
COc1c(OC)ncnc1NS(=O)(=O)c1ccc(cc1)N,8,False
CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,8,False
C(C(C(F)(Cl)Cl)(F)F)(F)F,4,False
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,9,False
C(C(F)(F)Cl)(C(F)(F)Cl)F,4,False
C(C(F)(F)Cl)(F)Cl,0,False
CC(CCl)Br,0,False
C(=O)(C(=O)O)O,0,False
COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,9,False
C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,6,False
C1(C(O1)(F)F)(C(F)(F)F)F,0,False
C=CC(=O)N,0,False
C1=C(C=C(C(=C1O)O)O)C(=O)O,4,False
C1=CC(=CC(=C1)N=NC2=C(C=C(C=C2)N)N)N=NC3=C(C=C(C=C3)N)N,7,False
C(C(CO)(CO)CO)O,6,False
C(C(F)(F)F)(F)(F)F,0,False
C(CCl)OP(=O)(OCCCl)OCCCl,9,False
CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-],9,False
COc1cnc(nc1)NS(=O)(=O)c1ccc(cc1)N,9,False
C1=CC(=C(C(=C1)O)O)O,4,False
C1=CC(=C(C=C1N)C(=O)O)O,4,False
CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,7,False
C1=CC=C2C(=C1)C=CC=C2N=C=S,6,False
C1=CC2=NNN=C2C=C1,4,False
C1CC(OC1CO)N2C=CC(=NC2=O)N,1,False
C1=CC(=C(C=C1Cl)SC2=C(C=CC(=C2)Cl)O)O,9,False
C=CO,0,False
C1=CC=C(C(=C1)C(=O)O)N,4,False
C(=C(F)F)(F)F,0,False
CC1=CC(=C(C=C1)OC)N,6,False
C1=CC(=CC=C1CC2=CC=C(C=C2)N=C=O)N=C=O,9,False
CCC(CC)(C(=O)NC(=O)N)Br,6,False
CNC(=O)OC1=CC=CC2=CC=CC=C21,9,False
C(CC#N)C#N,0,False
C1=CC(=CC=C1N=C=S)N=C=S,4,False
CCCCCCCCN[C@@H]([C@H](c1ccc(cc1)SC(C)C)O)C,7,False
CC(C)CC(C(=O)O)N,6,False
CC(=O)NC1=NN=C(S1)S(=O)(=O)N,6,False
CC(C)(C)C1=NN=C(S1)N(C)C(=O)NC,9,False
C(CC(=O)OOC(=O)CCC(=O)O)C(=O)O,6,False
COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,9,False
CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],7,False
C1=NNN=N1,0,False
C1=CC=C2C(=C1)C(=O)NS2(=O)=O,4,False
C(C(C(C(CO)O)O)O)O,6,False
C1CNP(=O)(OC1)N(CCCl)CCCl,9,False
C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O,9,False
CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-],8,False
C1=CC=C(C=C1)NC2=CC=C(C=C2)N,1,False
C1CCC(CC1)(O)OOC2(CCCCC2)OO,5,False
CNC1=C(C(=O)N(N=C1)C2=CC=CC(=C2)C(F)(F)F)Cl,9,False
C(C(C(F)(F)F)(Cl)Cl)(F)F,4,False
C(=N)(N)S(=O)O,0,False
C(C(C(CO)O)O)O,4,False
