,SM1_Dzi,FNSA2,SM1_Dzare,nHetero,SM1_Dzv,SM1_Dzp,SM1_Dzse,SM1_Dzpe,EState_VSA1,AATS1pe,TopoPSA_NO_,SlogP_VSA2,BCUTi_1h,ATS0dv,TopoPSA,AATS1are,SM1_DzZ,ATSC0se,WNSA4,PNSA2,RNCG,Mare,ETA_epsilon_1,PNSA1,PNSA4,ATS3dv,SM1_Dzm,MID_h,AETA_beta_s,DPSA4,Mse,ATSC1pe,ATSC1are,ATS2dv,AATSC1pe,AATS1i,WNSA2,Mpe,AMID_h,DPSA3,SlogP_VSA10,ATSC1se,MID_N,PNSA3,ATSC0are,AATS1dv,ATSC1c,ATSC0c,ETA_epsilon_4,AATS0pe,AATS0se,ATS4dv,IC0,SLogP,EState_VSA9,Xc_3d,AATS0i,AETA_alpha,AMW,ETA_eta_F,nHBDon,GGI4,Mor05m,AATSC0v,GRAV,AATS1se,ATS0m,AATS0dv,Xpc_4d,WNSA3,AATSC0i,BCUTc_1l,VSA_EState3,ATS2m,Mm,SRW10,AMID_N,Mor31v,Mi,BCUTc_1h,Mor28,ATSC0pe,MIC4,AATSC1se,AATSC1c,nN,MWC06,ATS3Z,MZ,AATS0m,Xpc_5d,ETA_dPsi_A,ETA_dEpsilon_A,MIC3,BCUTm_1h,ZMIC5,WNSA1,AATSC0dv,Mor28se,AMID_O
SM1_Dzi,1.0,-0.8319819770440829,0.9642695208084825,0.8869953570279471,-0.940724372076118,-0.9326031236261898,0.9470608529464073,0.965134962212642,0.6917030710192412,0.600607756321227,0.5695668759727807,0.5078995699205427,0.7157622128749856,0.833788800066761,0.4554080104584043,0.6138910558871238,0.6753437758251696,0.745914232059658,-0.829880518384002,-0.7468641486659026,-0.45423966932682297,0.6779624570208173,0.6344366311716197,0.6548116607577251,-0.8126300136547162,0.6984632685467341,0.6204094812791708,0.870084837063878,0.5591907377675467,0.7816850296817238,0.6258346760250514,-0.24729346633059526,-0.27131416109990225,0.7617743327475508,-0.18435884457669954,0.47010987746293487,-0.6220607332868521,0.6537806246804018,0.5120038675524865,0.6166676819149661,0.7570632388273567,-0.2716205635858802,0.4968809933249641,-0.6967257687356964,0.7754990469250528,0.6705569404358257,-0.5179899621074334,0.6591611366537461,0.6025101414749289,0.6541155195029701,0.6277131850104143,0.6629933520257766,0.502668453828686,-0.15548105869240028,0.2831004955289597,0.6367171619780037,0.5611602631755238,-0.3358057724143735,0.17743205318122063,0.5735900152656718,0.2727723363780258,0.38515374147375403,-0.4596618485145654,-0.43457400964925746,0.600900043695044,0.5413872243923854,0.25333995829870715,0.7059829615899992,0.5881266372566918,-0.6445881856980558,0.5180300719444015,-0.1241749245151774,0.2630378460716551,0.47893375851385384,0.17673517647394857,0.35245710841287553,0.3081966582597366,-0.21998870030077494,0.5509856840051939,0.6503365977278056,0.26590749551902493,0.7321376685489692,0.5011325018423343,-0.19131456404611336,-0.35489670954865066,0.49009886268680136,0.3492845512547442,0.49125746144545945,0.18771182138823486,-0.02056324795030797,0.49591811625348453,0.024663522028799803,0.6199374178822654,0.5052939519330557,0.06861850304818111,0.5738101731296399,0.554721415640091,0.5600479113976229,0.2775293145427127,0.2081095073252733
FNSA2,-0.8319819770440829,1.0,-0.8765963064858153,-0.8443461699623768,0.8462627556644019,0.8169830014719691,-0.8818794481360258,-0.8776365451959764,-0.7923437569606734,-0.4084336907399775,-0.6912169749847846,-0.5515317855509961,-0.4483694928287745,-0.8635062057308945,-0.6304564436573943,-0.4207514102205297,-0.6537782302244227,-0.7877120297148105,0.9726659691403472,0.9257870640171322,0.5421778949787751,-0.48588408262534094,-0.46785984308562933,-0.8247893620380978,0.8957232391978879,-0.7779308638532453,-0.5914892879063292,-0.8306628004935829,-0.5532995752551543,-0.9127947934162387,-0.4391435906155103,0.39330098765299704,0.40149907528314205,-0.810905382089625,0.1789620336804624,-0.19569233087910928,0.7783053119375765,-0.46707252305377756,-0.3666268736249252,-0.8526742566880217,-0.5417711384234347,0.39356632574336264,-0.35442875466989726,0.8978044176530035,-0.7706941197561654,-0.5598893775998572,0.689237231538247,-0.8204274661459604,-0.39387047111935564,-0.45832724715615525,-0.4368416188765506,-0.7424816969063577,-0.5779800136166919,0.12796590188118478,-0.413454936914285,-0.6029487031649774,-0.23601988141095276,0.2657178737322978,-0.11367862948409173,-0.7230355833349297,-0.4853985307954349,-0.5161164325659435,0.5451154441840176,0.22488760547904177,-0.6919666293035086,-0.3602483095637922,-0.2849122517834124,-0.5525156615470078,-0.6231016968235513,0.8491550491378289,-0.3393629569512116,0.17127670614927848,-0.4776744369439766,-0.533811778775043,-0.11277157072210803,-0.4642241651355543,-0.1251555923440539,0.3147811006441104,-0.21900717832608776,-0.6650808322624188,-0.3805704864941842,-0.748746562484816,-0.6275366503727984,0.1834741558732681,0.43450252786990745,-0.3463207134852832,-0.4693779626339683,-0.5983778944385024,-0.12314112153514452,0.04654927072295499,-0.5590044319993488,-0.022155361428815426,-0.4479252234910923,-0.6262262233354909,-0.0791415638101781,-0.6002788251519896,-0.7407809494166888,-0.5375670394075616,-0.39434225167266895,-0.3147131318082501
SM1_Dzare,0.9642695208084825,-0.8765963064858153,1.0,0.9018445043128571,-0.9724655924584787,-0.9654630287133467,0.9862101977856473,0.9943468423036816,0.7700578438147615,0.5736290414845744,0.6553700242876388,0.6000231405657172,0.6376658859731489,0.863747943023336,0.54457935378436,0.5932047383451061,0.6817616677225591,0.8544151506599507,-0.8582404010084992,-0.7965084389004389,-0.4655340654761204,0.6442629186426261,0.5973547123809052,0.6481977419310795,-0.8223934505294692,0.7010203028275871,0.6268782281647483,0.8835826278378673,0.5624528807515368,0.8569831503325863,0.5940334721927072,-0.26177736103170784,-0.2882620383977021,0.7632049377258585,-0.17055576139836146,0.4064822590276959,-0.6657905888103378,0.6135850213989994,0.4949788561403501,0.722972696249491,0.6468234843338819,-0.2921420757833943,0.36823719430328744,-0.7962914420185849,0.8653623413836611,0.6357711555516914,-0.6161304472218612,0.7758410534375487,0.5664386202721208,0.6128168518544961,0.595524424024064,0.6797005358380063,0.5251560312909199,-0.2043637314493764,0.31430460744899413,0.6188333746951764,0.48540783309059155,-0.3661079312528301,0.1363993748245514,0.584140330975146,0.3219232081980135,0.4054953504161992,-0.4656468241931617,-0.406293474199298,0.6082314141364437,0.5268184512437772,0.2343937648479286,0.6799308859961231,0.5688990385085074,-0.7431408282965392,0.4322121102599237,-0.21259205932648342,0.3561835396036796,0.4682055573294766,0.13558622622726568,0.3744148337817887,0.17674218596894212,-0.18561825976416504,0.47943055060503637,0.7028523354939579,0.267867880449256,0.825633987518692,0.5069199434430377,-0.17747285905398033,-0.40376525325536633,0.3588853305638588,0.37407704289448457,0.49859322136059536,0.14652260044882867,-0.045903809990406934,0.48387787197408727,0.02418242082888921,0.5830693736819454,0.5083170653411005,0.031139222486286307,0.5696026219702712,0.5683998016297137,0.6084276082178528,0.2883532541834666,0.38477527416056423
nHetero,0.8869953570279471,-0.8443461699623768,0.9018445043128571,1.0,-0.8504450588499409,-0.7820475795670965,0.9386255191473212,0.9193301755097932,0.7404866528438833,0.5260802076120815,0.717563315206435,0.6123733861475644,0.5204595154002039,0.7826608200128727,0.7245408801649269,0.5097977820040149,0.8370032732549172,0.760445097712992,-0.8665664344961739,-0.8045102747335242,-0.4861569561793554,0.5641457806605404,0.5814283381323988,0.7185396162890524,-0.7969242077772029,0.6424208961260138,0.750858231477225,0.9957838808681426,0.5605088029061102,0.832885814950663,0.5619172586891512,-0.26293793660768106,-0.2935296212817688,0.7177929074301668,-0.1883896343422882,0.29317766446975363,-0.7017131503294892,0.5685313937576536,0.6367148626092184,0.6980789441944821,0.5619217521732589,-0.2744110626178567,0.5582623394147812,-0.7564807919301788,0.7489632187106431,0.5179581088435238,-0.6126807785716291,0.7115450856854183,0.5466910767979201,0.5528771651797088,0.5531475179199771,0.6468531127195893,0.6432580364135813,-0.2281638011143474,0.4318628546097921,0.6001317584012764,0.2984339829749693,-0.13666163400241327,0.27751254806005204,0.6044054718869787,0.3663776822149632,0.43653716744591853,-0.3735302221976585,-0.33421880261569503,0.672884414771679,0.5062983978926999,0.4094063384842356,0.5674360150603351,0.5213889013871916,-0.7349638498937532,0.3405432543387071,-0.14703408307241414,0.34138401767395726,0.5803267611477148,0.2771967929823413,0.3353173293706218,0.3218743594250223,-0.30039521143821807,0.2863661732642018,0.6288666796239023,0.33963785015349424,0.7235054782498131,0.6299216275318615,-0.19824977204168076,-0.4059989984357937,0.549136423595143,0.33802975053909373,0.5229133445858635,0.29562354893367215,0.06125162506144275,0.4685263544637403,0.04481234062801783,0.5672902631023031,0.6306472546749494,0.2507620760804118,0.6454451956556627,0.6429694477416171,0.549285860351267,0.3595646232286995,0.32111029082219766
SM1_Dzv,-0.940724372076118,0.8462627556644019,-0.9724655924584787,-0.8504450588499409,1.0,0.9579376889480941,-0.9310369222250094,-0.9471895326200337,-0.7487358924498275,-0.5193522739992552,-0.7043200333213021,-0.604584525827491,-0.631095022926425,-0.862035376434752,-0.5692798013734185,-0.561390725998141,-0.5210058380308222,-0.8353533830120091,0.8047848939015839,0.7752864592419005,0.45249593249679265,-0.5821163871764349,-0.5090312751191592,-0.5670851127818665,0.7608259034316343,-0.7009069744201537,-0.44815050100834847,-0.8388104334135437,-0.5666999492590529,-0.846108812492458,-0.5075764637407189,0.23980350682967425,0.27307179757109357,-0.7608977202041277,0.14413673065738553,-0.42955706424067136,0.6526235861918789,-0.5326243727420225,-0.4200148296598882,-0.7357878413021268,-0.6209608363104432,0.26489550130335754,-0.4291980615110696,0.7784104816470251,-0.8585629327172073,-0.6185705825039708,0.6343249167546363,-0.7870794878349651,-0.4798563069556825,-0.5342063982150289,-0.5104247421869825,-0.6797363784715358,-0.5093111823984284,0.24511337507581768,-0.25098477823654486,-0.5782985157889304,-0.47541275073311046,0.44685737352297866,-0.02658558994557731,-0.597425494392146,-0.35910487766045207,-0.41894615346770264,0.49755017614935104,0.35771321706105386,-0.5754502682187799,-0.4664289814236176,-0.12712687849385534,-0.6458487732632006,-0.5573256680934443,0.7323061320646025,-0.3733791545158798,0.2516816585273727,-0.3749279400580915,-0.39537844685657675,-0.02529101863728139,-0.3843025257022099,-0.24119618779394075,0.16550524012372275,-0.47694637581067734,-0.6876441209959034,-0.2424209051898616,-0.8209916971952828,-0.42317256925927943,0.1445784883142905,0.40527060289050804,-0.421608298637186,-0.3874488038755685,-0.4746018045355923,-0.031914566409597014,0.10999805262022663,-0.4798281994114163,-0.03257822580051055,-0.4942267460747308,-0.4236136193235024,0.08644226427939729,-0.4809467419475451,-0.5221596698197568,-0.5931257491215706,-0.2683015175754284,-0.399591977336741
SM1_Dzp,-0.9326031236261898,0.8169830014719691,-0.9654630287133467,-0.7820475795670965,0.9579376889480941,1.0,-0.9280582944783083,-0.9501420859673712,-0.7220866119490498,-0.5671905906424125,-0.5193908772013652,-0.5217076350139729,-0.6524639212974586,-0.823436284272349,-0.38907261618228056,-0.6008081020525619,-0.5652701073224032,-0.8040436836737681,0.7825340796523741,0.7057792814758274,0.4187861141299096,-0.6736498677389737,-0.5915431181412965,-0.5666251543262455,0.7926182829965932,-0.669256139541217,-0.5226888454130614,-0.7552643809043071,-0.49186547140270676,-0.7841497964673547,-0.5988825231020127,0.2780359561771072,0.3035244322633755,-0.7209647263044312,0.2098806099371603,-0.4383962172175037,0.5640662554943915,-0.6262147818388782,-0.4190179558828579,-0.6467505933758876,-0.6933526239180587,0.3084743179975524,-0.22863287170446317,0.731781656232835,-0.834463793397204,-0.6522733081787087,0.5364193685241296,-0.712031671623999,-0.5696941785803269,-0.6376664946218376,-0.6085561716226241,-0.6336229965303242,-0.39793041616274055,0.17395904785498395,-0.17900465053917214,-0.5907738213472318,-0.5979688052271787,0.41905317455518853,-0.08487918785449694,-0.4937792054471648,-0.25064844884205034,-0.31986169929784813,0.44201852546532644,0.37894801844633885,-0.5075039353046111,-0.5078135640734589,-0.13666913767440816,-0.7227640436571383,-0.5441028210466448,0.6517935219067722,-0.5359935515755028,0.17559403478624036,-0.29600882795819744,-0.36669567742936854,-0.08361096295330134,-0.33473126676102005,-0.08201000863074061,0.12237286884308723,-0.5880433575728001,-0.6779644245882922,-0.21337280047054216,-0.7819441249089255,-0.3847276871612589,0.2151318213057426,0.3973003212260407,-0.22005030469851947,-0.33000747903865824,-0.4193369071504599,-0.09008757440920671,0.07246251320403622,-0.4416318019716579,-0.04858351319589525,-0.5795726806269939,-0.387012053339112,0.052516665410026225,-0.497559410888626,-0.4638088155879249,-0.5673701480315866,-0.22776974064694588,-0.3446521076920126
SM1_Dzse,0.9470608529464073,-0.8818794481360258,0.9862101977856473,0.9386255191473212,-0.9310369222250094,-0.9280582944783083,1.0,0.9963308874044761,0.7773057006040003,0.5879687311030407,0.635220878070923,0.5991492271074054,0.6042052611313976,0.8374748702186625,0.5637822012867048,0.5879272351786039,0.7793022884572753,0.847048582888087,-0.8835995937241883,-0.80220833149409,-0.47151994234136835,0.6567182432448123,0.6392423579372468,0.7007482365766723,-0.8488193409150684,0.677533574192288,0.7125365384115668,0.9186446703092699,0.5526856630727653,0.8571856245996992,0.6311815000863787,-0.2833862613836531,-0.3066936811179756,0.7421412456932268,-0.19502030133374723,0.3627459957464307,-0.671528976279071,0.6434117624554364,0.5597476666746467,0.7128065203891716,0.6242150015897961,-0.3125384065779273,0.3429449621386627,-0.7995404097258925,0.8442170447622142,0.6099453757724794,-0.6063625657296052,0.7572813483891069,0.6076964577821102,0.6386917646582295,0.6301368638216944,0.660771051233148,0.5556922636174912,-0.18881919338436123,0.37727600668197986,0.6283042598874872,0.44736344912846676,-0.2825073596837466,0.21558762752720448,0.5692754581870849,0.31107579823235654,0.3938084160666945,-0.4256498037755933,-0.41213079769858585,0.6261542104751042,0.5525392758770441,0.3135898453299716,0.6693120776412285,0.5556072772014863,-0.7452683331972151,0.4401353624375161,-0.18259868336100454,0.34255251090011807,0.5146595719684672,0.21509557558456485,0.35778859345232034,0.14762482440574218,-0.2130283722733542,0.43643084263885,0.6955246514215337,0.2939371581862072,0.8064864597173197,0.5709497338723076,-0.20562634487003373,-0.4105927647528352,0.3328659405931523,0.35560921377978083,0.5067202044208539,0.23028605395546115,0.0027075682624037242,0.47133227390457866,0.02530724140620044,0.6256263637305164,0.5726630944958897,0.13000560685944562,0.6263623325928982,0.6009446175430676,0.6052560956294741,0.31124323604963244,0.3790180708187819
SM1_Dzpe,0.965134962212642,-0.8776365451959764,0.9943468423036816,0.9193301755097932,-0.9471895326200337,-0.9501420859673712,0.9963308874044761,1.0,0.7672637431781331,0.5941175369509426,0.6212545367955375,0.5840471567688864,0.6349110975044139,0.8476852380873255,0.526086259060684,0.5996608043850955,0.7441093463265357,0.8424488801731324,-0.8736987230063512,-0.7933585285382199,-0.46657295085081857,0.6675419412381728,0.6373124521278809,0.6826911955085466,-0.8448819192957312,0.6891032194144612,0.6848700122930946,0.8983268339548199,0.5521761702632028,0.8488037268520001,0.6319339446022965,-0.2761378676325111,-0.2991700613011994,0.7521058693708563,-0.191974316389858,0.3914332257254058,-0.6609412248862004,0.6489706220318203,0.5362755683302322,0.701821292249752,0.6556398628829355,-0.3073085382623089,0.3506578808532439,-0.7880701060483004,0.847612320488532,0.6332570975972752,-0.5949544123949185,0.7511875961957802,0.6061156343525733,0.6466849531352981,0.6325494594734101,0.6668216918127171,0.5301672180529132,-0.18329348985045232,0.34755535017231853,0.631293835550444,0.4846257408754019,-0.3088235347388577,0.20147781884481003,0.5695674082740007,0.30110395775192644,0.39130483902834023,-0.4448504540085622,-0.41984021030642066,0.6160044133966337,0.5507225095212289,0.29307873943326956,0.687570271457507,0.5666421370897354,-0.7312398386215785,0.46191041878093386,-0.18097507590199147,0.3336840256133678,0.49621405898329174,0.20084389331699512,0.3586361455063324,0.16039011270856576,-0.2019102401375676,0.4742260948597577,0.6965425866760512,0.28210162929919325,0.8073790971349762,0.5442366166196176,-0.20226784748346854,-0.403581509430302,0.34106189686706867,0.3564109641455248,0.5012069803869654,0.21378279311470905,-0.0006430783503872475,0.47820765182071046,0.026611144228041395,0.623627334546401,0.5464356416116705,0.10030760954615747,0.6061390452372845,0.584068047075523,0.6044050225645752,0.2988998399094154,0.3595704430108599
EState_VSA1,0.6917030710192412,-0.7923437569606734,0.7700578438147615,0.7404866528438833,-0.7487358924498275,-0.7220866119490498,0.7773057006040003,0.7672637431781331,1.0,0.3861959585881811,0.666281465269934,0.577861845566141,0.34710105030614563,0.6364580220839124,0.6200644760184535,0.3894659975944284,0.5660488597363486,0.7001382083320783,-0.7522068037843551,-0.7179427302394868,-0.43196936765829674,0.43995152494641304,0.4245314397739428,0.5738401801354875,-0.7101521997814615,0.5308353142808901,0.5012634824233877,0.7143750230723633,0.3605928670943806,0.7242260925649114,0.42360212931335484,-0.3610779896280386,-0.35764054069916845,0.5513072648248875,-0.19325126250694843,0.22176461078250595,-0.5888543720029777,0.42639757938626016,0.4213688871857334,0.7146413036310901,0.36908034768017894,-0.34143670133409765,0.23127880067728326,-0.7892668548607642,0.6916214876675121,0.38448829924649824,-0.5676886933367258,0.6771126251658645,0.4060415726084024,0.42111009776311725,0.4218964247862582,0.5494674901534933,0.44476619650672394,-0.30083962562956923,0.2689804435899917,0.5092850124712378,0.2581688077844476,-0.19581284844890992,0.13991675092989042,0.4392346830872515,0.49031777193815945,0.3445205659329288,-0.3105946257620952,-0.24994119414374474,0.45426298626840556,0.3723868197995175,0.21559738814993998,0.4504790606093164,0.4562063908889359,-0.7233817822048941,0.26344734311091644,-0.0005690035522851689,0.5612915749830476,0.35807740472604455,0.13930948451107847,0.26885388122712894,0.08849668624502446,-0.17469765839111825,0.2539129969493909,0.4922693852245135,0.3002696339071484,0.6602629149592933,0.38711276970645175,-0.18955783213666527,-0.3877573366519959,0.22473228699140063,0.263860290782493,0.37931977396250927,0.14979579101713764,0.005124467555529696,0.3937041350995509,0.04624074170519936,0.41627774098302706,0.38378901930946213,0.0693391768138783,0.49194104101134284,0.4874950100555906,0.471818722222315,0.32202966942322525,0.3818231851597218
AATS1pe,0.600607756321227,-0.4084336907399775,0.5736290414845744,0.5260802076120815,-0.5193522739992552,-0.5671905906424125,0.5879687311030407,0.5941175369509426,0.3861959585881811,1.0,0.2271758192297808,0.1009018267344419,0.5910591745300444,0.33550575202077226,0.18185478496164661,0.9821317765244388,0.506893345308778,0.21574563737598274,-0.4279465597253856,-0.22589031758753272,-0.18040232794466304,0.9428002797096694,0.933398557811523,0.3409867358651125,-0.6257042382599232,0.17817922803968783,0.46504729957218716,0.48319648609036614,0.194138467721222,0.3997936386614838,0.9434962885736513,-0.3399821970452244,-0.3471390062904157,0.27044740009063944,-0.4647667960570144,0.7586679507323257,-0.10611174592197808,0.942151489686622,0.7892681590578179,0.2314429603521058,0.4662749812238021,-0.3388894761479235,0.15353801824881314,-0.34730062650603194,0.2233110172362434,0.7870260258692843,-0.18502916201494127,0.22076982900087677,0.9259369797649913,0.9333641308620712,0.9382239568333074,0.14359450931480902,0.1446185243918609,-0.2953193663291719,0.1789034356559462,0.2684444898087194,0.7007234894188943,-0.23043949138572092,0.44431118359917454,0.09877874000749254,0.09865281370482092,-0.04554422483153206,-0.016958038008528013,-0.6969635909111405,0.09147271529253016,0.9871150639932877,0.13664015273076807,0.8839065052310563,0.12966443628884705,-0.15314975665356906,0.44776505551611706,0.16996437945050702,0.10776619364623814,0.08463993829695812,0.444008230724459,-0.14246362283330036,0.2670112664536804,-0.37468615121005905,0.6931941602563508,0.3678659655297903,0.3858555340774778,0.1541511888633281,0.1865317508514399,-0.45454888002009136,-0.469854312337005,0.16067090330981176,-0.16310093749840662,-0.038168678535945036,0.46665674718871664,0.1429526954453056,0.062127993258987164,-0.0007829866547303857,0.9346547812769032,0.1961378451284093,0.1823355460071457,0.20237475990399445,0.08415679928385832,0.4211403850501976,0.358816984731449,0.33344856949609086
